StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,Count of Responses,Common_decision,mandates,use_tools,approved_tools,tools_description,autonomy,collaborative_within,collaborative_outside,longterm,shortterm,outside_org,within_org,often_env,often_evidence,often_teammates,often_leaders,often_elected,often_stakeholders,often_funding,impact_env,impact_evidence,impact_teammates,impact_leaders,impact_elected,impact_stakeholders,impact_funding,reduce_uncertainty,organization,org_other,duration,formal_training,training_desc,location,location_other,notes,Unique ID
44910.74,44910.75,IP Address,100,1499,TRUE,44910.75,R_1jrf84gEFuUNfU4,anonymous,EN,Yes,Are the benefits worth the costs (tradeoffs of multiple kinds)?,Is doing this better than me doing nothing (and maintaining the status quo)?,"What are the socio-political implications of this choice (assuming that I am confident that it's the ""right"" choice ecologically)","Will it scale up (i.e., can I confidently make the same decision in multiple places)",Is this worth the return on investment?,5,"How to synthesize different lines of evidence (e.g., multiple research projects by differnet people that all vary; science and Indigenous or local knowledge that do not have teh same results or findings). What knowledge gaps should be addressed through new research and when is the current state of knowledge good enough? How to prioritize when everything seems to be important and there are people championing multiple pet projects. Feasibility of different conservation and managemetn strategies, e.g., what is the ROI, will something ""work"", shoudl I focus on these three endangered species at the expense of not being able to focus management on twenty special concern species?","My organization's mission and strategic plan (and finer scale, like my department's business plan). Provincial, territorial, and federal laws and policies (e.g., SARA, IAAC; current mandate of whichever is the applicable minister -- including if somethign is not a priority for them but should be). Clear guidance from Indigenous communities and partners (e.g., hvae they articulated a conservation and/or land use vision with priorities and goals). Aichi Targets (and soon, the Global Biodiversity Framework) for aligning with international goals. IUCN guidelines (e.g., OECMs, connectivity).",No,,,4,Most of the time,About half the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,About half the time,Always,Most of the time,Sometimes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,"More stable funding over the long term and not tied to specific conservation outcomes (e.g., establish this protected area in three years or no more funding); consequences of failure, reputational risk (both for hte organization and my own); social and political blowback in communities; career limitations because of being the ""squeaky wheel"" (e.g., past vindictive and competitive boss); external group of peers and/or advisors to bounce ideas around (e.g., a gut check, coaching); a rubric to follow so that I can be confident I've considered information available and informed people who might reasonably need to know.","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,Less than 1 year,No,,"Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan,Northwest Territories,Nunavut,Yukon",,"Seems like a neat survey. I hope that there is a way to follow the project as results come out. Really like the idea of professional training in this, particularly at different career stages (i.e., what a director needs and what a coordinator or associate needs are very different).",69273
44911.25,44911.28,IP Address,100,2630,TRUE,44911.28,R_2uQUBGr2zmzWFVz,anonymous,EN,Yes,Adapting/responding to climate change impacts on conservation lands,"Funding (especially in context of ""trending"" conservation topics)",Technology and its ability to fill stewardship needs/conservation gaps,Legislative decisions relating to species at risk and capacity for enforcement,Legislative decisions relating to development,5,"How to best manage protected areas, which partnerships to build and maintain to further large-scale conservation initiatives, ways to involve the community in stewarding and connecting with natural areas","Guiding goal is to protect nature, biodiversity, and the important connections that people have with the land",No,,,3,Always,Sometimes,Always,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,About half the time,Sometimes,Most of the time,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,"Transparency and long-term planning for funding, evidence-based techniques to adapt/prepare natural areas for climate change impacts, new technology developed to meet land stewardship needs","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Prince Edward Island,,,54587
44911.46,44911.47,IP Address,100,821,TRUE,44911.47,R_xEO3OOtM4HLk8XD,anonymous,EN,Yes,Funding for new projects,The level of support from Indigenous communities,,,,2,Choosing where to buy new conservation lands and stewardship decisions on existing conservation lands.,Our scientific based natural area plans help prioritize new areas for land securement.,Yes,,Securement prioritization analysis (GIS based),3,Most of the time,Sometimes,About half the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,Most of the time,Most of the time,Always,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Ontario,,,88856
44911.48,44911.48,IP Address,100,601,TRUE,44911.48,R_1K1inaAO36wtxoK,anonymous,EN,Yes,Provincial government inaction and lack of support on conservation initiatives,Lack of internal capacity to accomplish goals,Lack of adequate species observation data coverage across the province upon which to prioritize conservation work,Lean practitioner network to find partnerships and/or additional capacity to take on larger conservation projects,,4,How to form the necessary partnerships to deliver conservation outcomes.,"Canada's 30 x 30 conservation targets, rapid biodiversity loss exascerbated by anthropogenic climate change and habitat loss.",Yes,Yes,conservation prioritization models,4,Most of the time,About half the time,About half the time,Sometimes,About half the time,Sometimes,Sometimes,About half the time,Sometimes,Sometimes,Always,About half the time,Sometimes,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Clarity of a provincial stance on conservation - stated goals and timelines.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,1 - 2 years,No,,Newfoundland and Labrador,,,35284
44911.55,44911.57,IP Address,100,1691,TRUE,44911.57,R_1nUweB5snX6Bw2U,anonymous,EN,Yes,Management capacity - Do the land managers I am asking to change behaviour have the tools or time to carry out the change.,Willingness - Do the people I'm working with believe in the action I'm suggesting,Effectiveness - Is the management decision going to be more effective than other decisions I could make.,"Balance - Will the outcome balance societal, environmental, economic values","Resources - Do we have the time, money, expertise in the long-term to carry about the action.",5,We mostly know what needs to be done in our line of work. What we don't always know is what are the most effective drivers of change and who is responsibel for that change.,"Very broadly, NCC's mandate is to conserve biodiversity. My specific work is intended to contribute to our organization's goal of accelerating conservation by 1 M ha. My goal is to show that with collaboration, agricultural producers and conservation agencies can improve biodiversity outcomes while maintaining food production.",Yes,Yes,We have been using Open Standards for the Practice of Conservation (Conservation Standards) to develop a management plan that identified priority risks and the most relevant strategies to address those risks.,4,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,About half the time,Most of the time,About half the time,About half the time,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,"Better understanding the network of stakeholders, rightsholders and managers that make decisions related to my work.","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,Saskatchewan,,,94217
44911.65,44911.65,IP Address,100,482,TRUE,44911.65,R_2YVYoI8aF8B3D1f,anonymous,EN,Yes,lack of knowledge of relationships between people or groups,Local community/people reactions,lack of knowledge on species populations/dynamics,knowledge on historical/pre-settlers land condition,weather/climactic conditions,5,"Where to secure land for conservation and protection
 How to steward a land for conservation purposes
 How to manage neighbours or visitors on a property","Internal company policy, internal property management plans, 30% by 30",No,,,3,Most of the time,Sometimes,About half the time,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,About half the time,About half the time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Easier to access knowledge of specific topics or when that knowledge is unavailable, easier abilities to secure funding to fill knoweldge gaps","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,1 - 2 years,No,,Ontario,,,22445
44911.65,44911.68,IP Address,100,2719,TRUE,44911.68,R_1P64o66GETZ0b82,anonymous,EN,Yes,Quality of data used to make decisions,Long-term funding/capacity to manage the projects conserved and the actions that are initiated,"Use of standard datasets that represent ""the best available"" in all decision making around a certain topic or theme in conservation ie: governments not wanting to use third party data that will provide them more details about the decision they are trying to make)",long-term monitoring (will it be used to monitor the action and the anticipated outcomes),Ability for all users to correctly interpret data in a standard way to ensure that data/maps/processes are interpreted the same way and understood,5,"Areas of interest for conservation (where to spend our dollars), how to direct donor/funder dollars into our work, monitoring of projects that are conserved, how and when to support partners that are interested in conservation, how to decide between projects when funding is not available for multiple projects (i.e.: prioritizing projects)","a) Internal Policies, procedures, guidelines, and standards; b) strategic plan goals; c) conservation planning themes, inputs, and outputs for each area of focus in which we work; d) partner input/opportunities for partnership; e) Provincial funding priorities for conservation delivery; f) Federal Funding priorities for conservation Delivery; g) SAR habitat",Yes,Yes,"Conservation planning tools provided by/developed by NCC, TNC (conserving natures stage products), datasets from the ABMI",3,Most of the time,About half the time,Most of the time,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,Sometimes,Most of the time,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,"funding at a programmatic level, rather than a project level, all-in costing for a project (include all values instead of breaking up components to a project), all data being agreed upon and understood to the same degree so decision-making processes could be better standardized, better data sharing of high quality datasets, higher degree of collaboration to create high quality datasets that are standard (in data inputs and use)","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,Yes,"MSc in conservation planning (marxan, habitat suitability models, facilitated input sessions for decisions, human/wildlife interactions and industry/nature interactions in conservation planning)","Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan",,,20976
44914.34,44914.36,IP Address,100,1708,TRUE,44914.36,R_2mAtOSNiYf1doCB,anonymous,EN,Yes,"Uncertainty about direction and extent of effects ""in the real world"" (cumulative effects, interactive effects, etc.)","Uncertainty about duration of funding (i.e., difficult to plan more than 1-3 years in advance)","Uncertainty about government directions, policies, etc., and lack of ethical framework and approach for co-governance with Indigenous communities",,,3,Proactive community-based planning with Indigenous communities; Indigenous-led monitoring and protection; Developing/promoting better co-governance models for Indigenous communities; Mitigation and operational standards with industry; Species management plans; Conservation finance especially options for voluntary carbon markets,"Trying to do no harm with Indigenous communities and promote ethical approaches that respect Indigenous jurisdiction; Promoting evidence-based approaches as much as possible, with precautionary approach when evidence doesn't exist; Promoting proactive and adaptive planning approaches rather than reactive; Whole ecosystem approaches",Yes,Yes,"Just a note that I think that the answer to the above question is really ""sometimes"". But we use a lot of different tools/frameworks for different purposes. We've used the Miradi concept mapping during strategic planning, and we've also borrowed tools from systematic conservation planning (e.g., Marxan, Prioritizr, BEACONs) and cumulative effects scenario planning (e.g., ALCES). I'm sure there's others that I'm not thinking of off the top off my head.",4,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Sometimes,Most of the time,About half the time,Most of the time,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,More clear jurisdiction for Indigenous communities in Canada; better understanding of interactive and cumulative effects and climate change; longer-term funding,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,Yes,Workshops and experience on various decision-support tools,Ontario,,,86932
44914.5,44914.52,IP Address,100,1466,TRUE,44914.52,R_1SPluOwVbeG5bqh,anonymous,EN,Yes,Funding; to undertake projects or for follow-up/maintenance,"Understaffing; cannot commit to projects with too few staff, or staff that are not guaranteed (ex. federally-funded summer students)",Lack of research on management strategies (ex. managing emerging invasive species),"Provincial government eroding environmental law and protected areas - we don't know what land is safe, what to invest our time in.",,4,"Land acquisition to protect natural areas, invasive species management, manage and monitor species at risk, manage natural areas with provincial/federal/global designations, engaging youth (Kindergarten - Grade 12+) with nature.","Promote the enjoyment of nature through environmental appreciation and conservation, foster public interest and education, and encourage the conservation of natural resources and environmental protection.",No,,,3,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,About half the time,About half the time,Sometimes,Sometimes,Always,About half the time,Always,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,"Secure & long-term funding sources for large projects, environmental protections on the provincial and federal level that cannot be overturned on a whim, increased funding to research = more knowledge to assist with management decisions.","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",Environmental non-profit,1 - 2 years,No,,Ontario,,,96927
44915.4,44915.41,IP Address,100,1170,TRUE,44915.41,R_3gN49uACGHVx5B1,anonymous,EN,Yes,"Support or engagement from rights holders, stakeholders, community members. Uncertainty around how they will perceive the conservation actions/strategies/decisions.",Climate Change. Climate variability and resulting environmental changes make long-term planning difficult.,,,,2,#NAME?,,Yes,,,2,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,Always,Always,Always,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Saskatchewan,,,35728
44915.49,44915.5,IP Address,100,912,TRUE,44915.5,R_51g1sWbPEcJNrnX,anonymous,EN,Yes,"Scientific uncertainty, insufficient data to resolve key questions in the decision making process",Traditional Ecological Knowledge: Availability of information or insufficient time to gather or engage indigenous groups,Social: Lack agreement among parties or groups involved in the decision process about what the uncertainty is,"Collaborative: Decisions made in the absence of one or more important groups (e.g., regulatory or indigenous)",,4,"Mitigation, compensation, and offsetting for environmental impacts. Prioritizing research and conservation actions","Species at risk act, fisheries act, technical committee discussions, structured decision making",Yes,Yes,Structured Decision Making,4,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,About half the time,Sometimes,Most of the time,Most of the time,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Clear upfront and collaborative planning with an agreed upon process for addressing a known conservation decision point. Requires engagement from all parties internal and external to my organization,Industry/private company,,over 10 years,Yes,Structured decision making; leadership training; training in resolving conflicts in decision making,British Columbia,,"No, thank you",35430
44915.51,44915.51,IP Address,100,684,TRUE,44915.51,R_1E7hmcD1CIBNAoQ,anonymous,EN,Yes,"lack of comprehensive, long-term data","inconsistent access to data, improperly managed or structured datasets, etc.",inability to have certainty around causal relationships in complex ecosystems,uncertainty around implementation efficacy (e.g. will structures or programs be maintained so they remain effective),continued access to internal funding to execute conservation actions,5,What type of mitigation method are needed to enhance fish populations,"guidance from regulators (e.g. DFO), stakeholders (e.g. NGOs), and senior colleagues",Yes,Yes,structured decision making,3,Most of the time,About half the time,Most of the time,About half the time,Most of the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Always,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,better management of data and synthesis of evidence to support decisions,Other,crown corporation,Less than 1 year,Yes,I have taken intro and advanced structured decision making courses that were taught by an expert in the field. These courses are provided by my employer. I am currently working with a facilitation group through a complex SDM process on restoration.,British Columbia,,My level of uncertainty is impacted by the duration I have been in my current role.,32686
44915.51,44915.52,IP Address,100,1000,TRUE,44915.52,R_2ZP9lPbHS4MCYlQ,anonymous,EN,Yes,Reaching fundraising goal,having the capacity to manage the property adequately,"having funds in hand is the optimal approach to be strategic, and take advantage of opportunities. The uncertainty of grant applications, and convincing landowners to agree to contracts before these outcomes are known reduces flexibility","climate change, and the gradual shift in animal patterns and plant populations","World economics, the impact of financial stresses on charitable giving",5,"whether a project meets our goals and objectives, we receive far more enquiries than we have the capacity to action. We use a matrix to assess projects, but many worthwhile projects are left behind",our organization's strategic plan,Yes,Yes,"We have developed a matrix to analyze and score potential projects that factors many attributes like rare and threatened species, connectivity, sensitive habitat, wetlands, biodiversity, risk, threat of development, cost",5,Most of the time,Sometimes,Most of the time,About half the time,Most of the time,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Most of the time,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Land trusts are the local eyes and ears of conservation. funds should be available and given directly to land trusts to hold for projects and not tied up in cumbersome application processes. audits are fine but all of us are capacity limited and so much opportunity is available if only the resources were readily available.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,Yes,At UBC via an MBA program and via Banff Centre Leadership training,British Columbia,,,38723
