StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,Q1_1,Q1_1_TEXT,Q1_2,Q1_2_TEXT,Q1_3,Q1_3_TEXT,Q1_4,Q1_4_TEXT,Q1_5,Q1_5_TEXT,Q2,Q3,Q3B,Q3C,Q3D,Q4,Q5_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q9,Q10,Q10_7_TEXT,Q11,Q31,Q32,Q12,Q12_14_TEXT,Q13,Unique ID
44914.50073,44914.51771,IP Address,100,1466,True,44914.51773,R_1SPluOwVbeG5bqh,anonymous,EN,Yes,Funding; to undertake projects or for follow-up/maintenance,"Understaffing; cannot commit to projects with too few staff, or staff that are not guaranteed (ex. federally-funded summer students)",Lack of research on management strategies (ex. managing emerging invasive species),"Provincial government eroding environmental law and protected areas - we don't know what land is safe, what to invest our time in.",na,1,Funding; to undertake projects or for follow-up/maintenance,3,Lack of research on management strategies (ex. managing emerging invasive species),2,"Understaffing; cannot commit to projects with too few staff, or staff that are not guaranteed (ex. federally-funded summer students)",4,"Provincial government eroding environmental law and protected areas - we don't know what land is safe, what to invest our time in.",,,"Land acquisition to protect natural areas, invasive species management, manage and monitor species at risk, manage natural areas with provincial/federal/global designations, engaging youth (Kindergarten - Grade 12+) with nature.","Promote the enjoyment of nature through environmental appreciation and conservation, foster public interest and education, and encourage the conservation of natural resources and environmental protection.",No,,,3,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,About half the time,About half the time,Sometimes,Sometimes,Always,About half the time,Always,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,"Secure & long-term funding sources for large projects, environmental protections on the provincial and federal level that cannot be overturned on a whim, increased funding to research = more knowledge to assist with management decisions.",Other,Environmental non-profit,1 - 2 years,No,,Ontario,,,96927
44915.3952,44915.40875,IP Address,100,1170,True,44915.40877,R_3gN49uACGHVx5B1,anonymous,EN,Yes,"Support or engagement from rights holders, stakeholders, community members. Uncertainty around how they will perceive the conservation actions/strategies/decisions.",Climate Change. Climate variability and resulting environmental changes make long-term planning difficult.,na,na,na,2,Climate Change. Climate variability and resulting environmental changes make long-term planning difficult.,1,"Support or engagement from rights holders, stakeholders, community members. Uncertainty around how they will perceive the conservation actions/strategies/decisions.",,,,,,,"- what to prioritize in terms of land securement opportunities
-planning long-term conservation strategies to influence biodiversity outcomes on lands that we manage or areas that we work in",,Yes,,,2,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,Always,Always,Always,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Saskatchewan,,,35728
44915.49038,44915.50095,IP Address,100,912,True,44915.50096,R_51g1sWbPEcJNrnX,anonymous,EN,Yes,"Scientific uncertainty, insufficient data to resolve key questions in the decision making process",Traditional Ecological Knowledge: Availability of information or insufficient time to gather or engage indigenous groups ,Social: Lack agreement among parties or groups involved in the decision process about what the uncertainty is,"Collaborative: Decisions made in the absence of one or more important groups (e.g., regulatory or indigenous)",na,1,"Scientific uncertainty, insufficient data to resolve key questions in the decision making process",2,Traditional Ecological Knowledge: Availability of information or insufficient time to gather or engage indigenous groups ,3,Social: Lack agreement among parties or groups involved in the decision process about what the uncertainty is,4,"Collaborative: Decisions made in the absence of one or more important groups (e.g., regulatory or indigenous)",,,"Mitigation, compensation, and offsetting for environmental impacts. Prioritizing research and conservation actions","Species at risk act, fisheries act, technical committee discussions, structured decision making",Yes,Yes,Structured Decision Making,4,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,About half the time,Sometimes,Most of the time,Most of the time,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Clear upfront and collaborative planning with an agreed upon process for addressing a known conservation decision point. Requires engagement from all parties internal and external to my organization,Industry/private company,,over 10 years,Yes,Structured decision making; leadership training; training in resolving conflicts in decision making,British Columbia,,"No, thank you",35430
44915.50566,44915.51358,IP Address,100,684,True,44915.5136,R_1E7hmcD1CIBNAoQ,anonymous,EN,Yes,"lack of comprehensive, long-term data","inconsistent access to data, improperly managed or structured datasets, etc. ",inability to have certainty around causal relationships in complex ecosystems,uncertainty around implementation efficacy (e.g. will structures or programs be maintained so they remain effective),continued access to internal funding to execute conservation actions,1,"lack of comprehensive, long-term data",2,"inconsistent access to data, improperly managed or structured datasets, etc. ",3,inability to have certainty around causal relationships in complex ecosystems,4,uncertainty around implementation efficacy (e.g. will structures or programs be maintained so they remain effective),5,continued access to internal funding to execute conservation actions,What type of mitigation method are needed to enhance fish populations,"guidance from regulators (e.g. DFO), stakeholders (e.g. NGOs), and senior colleagues ",Yes,Yes,structured decision making,3,Most of the time,About half the time,Most of the time,About half the time,Most of the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Always,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,better management of data and synthesis of evidence to support decisions,Other,crown corporation,Less than 1 year,Yes,I have taken intro and advanced structured decision making courses that were taught by an expert in the field. These courses are provided by my employer. I am currently working with a facilitation group through a complex SDM process on restoration. ,British Columbia,,My level of uncertainty is impacted by the duration I have been in my current role. ,32686
44915.50686,44915.51844,IP Address,100,1000,True,44915.51845,R_2ZP9lPbHS4MCYlQ,anonymous,EN,Yes,Reaching fundraising goal,having the capacity to manage the property adequately,"having funds in hand is the optimal approach to be strategic, and take advantage of opportunities. The uncertainty of grant applications, and convincing landowners to agree to contracts before these outcomes are known reduces flexibility ","climate change, and the gradual shift in animal patterns and plant populations","World economics, the impact of financial stresses on charitable giving",1,Reaching fundraising goal,2,having the capacity to manage the property adequately,3,"having funds in hand is the optimal approach to be strategic, and take advantage of opportunities. The uncertainty of grant applications, and convincing landowners to agree to contracts before these outcomes are known reduces flexibility ",4,"climate change, and the gradual shift in animal patterns and plant populations",5,"World economics, the impact of financial stresses on charitable giving","whether a project meets our goals and objectives, we receive far more enquiries than we have the capacity to action. We use a matrix to assess projects, but many worthwhile projects are left behind",our organization's strategic plan,Yes,Yes,"We have developed a matrix to analyze and score potential projects that factors many attributes like rare and threatened species, connectivity, sensitive habitat, wetlands, biodiversity, risk, threat of development, cost",5,Most of the time,Sometimes,Most of the time,About half the time,Most of the time,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Most of the time,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Land trusts are the local eyes and ears of conservation.  funds should be available and given directly to land trusts to hold for projects and not tied up in cumbersome application processes.  audits are fine but all of us are capacity limited and so much opportunity is available if only the resources were readily available.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,Yes,At UBC via an MBA program and via Banff Centre Leadership training,British Columbia,,,38723
44915.6833,44915.69227,IP Address,100,774,True,44915.69228,R_3fJNBtt5WyQNUZh,anonymous,EN,Yes,Social acceptance of decision - are the barriers actual support/resistance to a decision or political perception of based on most vocal stakeholders,Short and long-term economic implications,"What is the appropriate ""balance"" of resource use (forestry, industry) and conservation on a landscape and how to make that transition equitably",Most appropriate conservation tool,na,1,Social acceptance of decision - are the barriers actual support/resistance to a decision or political perception of based on most vocal stakeholders,2,Short and long-term economic implications,3,"What is the appropriate ""balance"" of resource use (forestry, industry) and conservation on a landscape and how to make that transition equitably",4,Most appropriate conservation tool,,,"Location of protected areas, land-use planning outside of protected areas, level of appropriate development (inside and outside protected areas), most appropriate policy tool that needs revision or new policy/legislation.",Prioritize ecological function on landsape level conservation including protected areas and well managed public lands - working with communities and stakeholders.,No,,,4,Most of the time,Most of the time,Most of the time,About half the time,About half the time,About half the time,Sometimes,About half the time,About half the time,Sometimes,Most of the time,Most of the time,Always,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,Alberta,,,28856
44916.36493,44916.39138,IP Address,100,2285,True,44916.3914,R_1gzsdkvvXerZwIX,anonymous,EN,Yes,Lack of well-defined relationships between wildlife and disturbance (relationships derived from empirical data specific to species and/or region),Variability: difficulty teasing out behavioural responses that are within the natural range of variation or are in response to disturbance,"Lack of specific information leading to uncertainty (for example, lack of demographic rates for a certain species in a particular area or lack of subsistence harvest data to inform sustainable harvest)","Modelling: the ""ever model is wrong"" mantra. We make a lot of decisions supported by models that have inherent uncertainty","Political uncertainty: continued support of programs and/or conservation decisions (e.g., harvest-related) with newly elected leaders (territorial level mostly).",1,Lack of well-defined relationships between wildlife and disturbance (relationships derived from empirical data specific to species and/or region),2,Variability: difficulty teasing out behavioural responses that are within the natural range of variation or are in response to disturbance,3,"Lack of specific information leading to uncertainty (for example, lack of demographic rates for a certain species in a particular area or lack of subsistence harvest data to inform sustainable harvest)",4,"Modelling: the ""ever model is wrong"" mantra. We make a lot of decisions supported by models that have inherent uncertainty",5,"Political uncertainty: continued support of programs and/or conservation decisions (e.g., harvest-related) with newly elected leaders (territorial level mostly).","Sustainable harvest levels, mitigation and monitoring for development, herd range delineation, community engagement/collaboration, management plans, etc.","Yukon Wildlife Act, Umbrella Final Agreement, College of Applied Biologists (BC) code of conduct/ethics, Species at Risk Act, many more",Yes,No,Models... for example predictive population models,3,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,About half the time,About half the time,Most of the time,About half the time,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,"More evidence and understanding of complex, long-term relationships",Canadian provincial or territorial government agency,,3 - 5 years,No,,Yukon,,,41226
44916.37712,44916.39782,IP Address,100,1788,True,44916.39784,R_22EMWMTJLXkLVwS,anonymous,EN,Yes,Wildlife population estimate/trend for fish and wildlife species AND Effects of climate change (present and future) on fish and wildlife,Risk of invasive species and wildlife disease for fish and wildlife,na,Harvest rates for various species with unreported harvest (e.g. First Nation harvest),Effects of habitat loss and increased urbanization for fish and wildlife,1,Wildlife population estimate/trend for fish and wildlife species,4,Harvest rates for various species with unreported harvest (e.g. First Nation harvest),1,Effects of climate change (present and future) on fish and wildlife,2,Risk of invasive species and wildlife disease for fish and wildlife,5,Effects of habitat loss and increased urbanization for fish and wildlife,"harvest-related changes to regulations or policy, changes to aquatic invasive species prohibitions","Yukon Wildlife Act, Canada Fisheries Act and Invasive Species Regulations, Canada Species at Risk Act, Yukon Government Department of Environment Mandate and strategic plan, modern treaties",No,,,2,Sometimes,Sometimes,Always,Always,Always,Always,Most of the time,Most of the time,About half the time,About half the time,Most of the time,Most of the time,Most of the time,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,"Since many conservation decisions are made at the political level, changes to incorporate evidence-based decision making into cabinet submissions would improve the process.",Canadian provincial or territorial government agency,,over 10 years,Yes,"training limited to graduate level statistics courses in how to deal with data and levels of uncertainty in results, data modelling, and risk analysis",Yukon,,,83209
44916.3838,44916.39954,IP Address,100,1359,True,44916.39955,R_d4mL8hNN4Ym8WTD,anonymous,EN,Yes,"Political bias and influence of conservation NGOs AND Unknown monitoring parameters of ""success"" of conservation measures (e.g., do protected areas work?)",Predicting future conditions based on multiple potential climate scenarios ,"Multiple interpretations and misconstrued uses of the ""precautionary principle""",na,na,1,Political bias and influence of conservation NGOs,2,Predicting future conditions based on multiple potential climate scenarios ,3,"Multiple interpretations and misconstrued uses of the ""precautionary principle""",1,"Unknown monitoring parameters of ""success"" of conservation measures (e.g., do protected areas work?)",,,"Mitigation methods required for a given development activity, and inability to prove their effectiveness in the absence of a measurable effect.","Practical problem solving ensuring that a given industrial development project can occur without significant environmental harm. This is guided by various Canadian environmental acts, regulations, and licences.",Yes,,"Various habitat modelling tools that incorporate an industrial development footprint to calculate habitat loss, and various approaches to estimating a zone of influence to calculate potential reduced habitat effectiveness.",3,Always,Most of the time,Always,Sometimes,Always,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,About half the time,Always,Sometimes,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Parties agree to accept there there is often a moderate to high level of uncertainty in long-term predictions, and that parties learn to accept a risk management approach. Parties learn to understand compelling evidence versus reliance on an overly precautious application of the ""precautionary principle"" by not doing anything.",Industry/private company,,over 10 years,No,,"Alberta,British Columbia,Newfoundland and Labrador,Ontario,Saskatchewan,Northwest Territories,Nunavut,Yukon",,,36517
44916.40473,44916.41817,IP Address,100,1160,True,44916.41818,R_22qXLa3EcgyY73O,anonymous,EN,Yes,"First Nation governments and crown governments, both in terms of whether/when they are ready to make/support/implement a decision or action.",na,na,na,na,1,"First Nation governments and crown governments, both in terms of whether/when they are ready to make/support/implement a decision or action.",,,,,,,,,"Protected areas network design (ie where to locate protected areas, choosing boundaries, designation type etc), collaborative governance models with First Nations, and protected area management plans (allowable activities, zoning etc). ","Yukon Parks Strategy, Parks and Land Certainty Act (Yukon), ecoregion representation, protecting ecological integrity and cultural continuity.",Yes,No,"national ecoregion framework, IUCN protected areas definition, CCEA guidance documents",3,Most of the time,Most of the time,Most of the time,About half the time,About half the time,About half the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Evidence-based decision-making at senior, political, and intergovernmental levels.",Canadian provincial or territorial government agency,,over 10 years,Yes,Graduate level biostatistics and management.,Yukon,,,71168
44916.41978,44916.43606,IP Address,100,1406,True,44916.43607,R_1i9vTCPrFe3PpcO,anonymous,EN,Yes,political ideology/will trumps effective conservation; anthropocentric viewpoint,cumulative impacts on finite landscapes; large undeveloped landscapes required to conserve functioning ecosystems at broad landscape scale; even continental ,limited knowledge of overall biodiversity and ecological relationships on the landscape even within Protected areas,na,na,3,limited knowledge of overall biodiversity and ecological relationships on the landscape even within Protected areas,2,cumulative impacts on finite landscapes; large undeveloped landscapes required to conserve functioning ecosystems at broad landscape scale; even continental ,1,political ideology/will trumps effective conservation; anthropocentric viewpoint,,,,,accommodating human use/activity; broad public support required to conserve natural areas/species into the future,Provincial Parks Act and related legislation,Yes,Yes,Environmental Review policy; provincial environmental regulations,3,Sometimes,Sometimes,Most of the time,Most of the time,About half the time,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Government Policy which supports Conservation objectives.,Canadian provincial or territorial government agency,,over 10 years,Yes,PAME,Alberta,,Protected Areas should be free of partisan political interests.,89265
44916.41694,44916.45376,IP Address,100,3181,True,44916.45378,R_3CQuEdH52j8r76t,anonymous,EN,Yes,"Lack of information on the basic distribution/presence/absence of a species we are trying to assess or recover; e.g., are there more of them out there that we don't even know about?","Lack of information on basic biology of a species; e.g., exactly what habitat does it need and how closely is it tied to that habitat?","Lack of information on the likely response of a species' population to a particular management action; lack of ability to predict the response to, e.g., manipulations in habitat","Lack of information on whether a particular habitat can be restored and if so, what characteristics does the restored habitat need to have in order to be useful for the target species",na,1,"Lack of information on the basic distribution/presence/absence of a species we are trying to assess or recover; e.g., are there more of them out there that we don't even know about?",3,"Lack of information on the likely response of a species' population to a particular management action; lack of ability to predict the response to, e.g., manipulations in habitat",2,"Lack of information on basic biology of a species; e.g., exactly what habitat does it need and how closely is it tied to that habitat?",4,"Lack of information on whether a particular habitat can be restored and if so, what characteristics does the restored habitat need to have in order to be useful for the target species",,,Which species to protect and recover as species at risk; what types of land management to recommend to reduce the effects of human activity on species at risk; what types of species or habitat survey are needed to monitor species and measure the effect of management actions on the species.,"I am guided by my government's mandate to identify, protect and recover species at risk; compliance with the provincial Wildlife Act and associated Wildlife Regulation; and our program's Species at Risk Strategy",Yes,No,"Brainstorming, threats assessment, socioeconmic analysis, assess pros/cons",3,About half the time,About half the time,Most of the time,About half the time,Most of the time,About half the time,Most of the time,About half the time,Sometimes,Most of the time,Always,About half the time,Always,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,"Two things: 1) better resources to gather basic information to better inform decisions and 2) more clarity and transparency on the part of higher-level decision-makers (high up in government) as without thta, they can be affected more by political winds and whims than by solid information-based decision making",Canadian provincial or territorial government agency,,over 10 years,No,,Alberta,,"Great questions!  One thing about government decision-making is that each decision passes through so many levels, from the person who collates the information and first suggests options for each decision, up through several layers of management before arriving an the ultimate decision-maker's desk.  The ultimate decision-maker is usually much less knowledgeable on the subject of the decision than are the staff that work on recommending options. A decision can be suppressed at any of those levels, and rarely is there transparency on what happened. ",42388
44916.45296,44916.46605,IP Address,100,1131,True,44916.46607,R_3PNz5wRufH3IN0q,anonymous,EN,Yes,"Uncertainty about what is causing the decline of species, to make the intervention necessary",uncertainty about the response of a species to the intervention,Uncertainty about which action is most cost effective,uncertainty about what ultimate (root) goal/outcome is actually desired...,uncertainty about the ability to implement/enforce the desired intervention ,2,uncertainty about the response of a species to the intervention,4,uncertainty about what ultimate (root) goal/outcome is actually desired...,5,uncertainty about the ability to implement/enforce the desired intervention ,1,"Uncertainty about what is causing the decline of species, to make the intervention necessary",3,Uncertainty about which action is most cost effective,"Which species to propose for listing under SARA (through work on COSEWIC)

Review of industrial impacts through EA/ongoing monitoring processes. 

Defining and addressing the conservation priorities of indigenous communities in NU.

I do also participate in protected area creation/land acquisition, but in my sapre time as a volunteer. ","Environmental assessment act, species at risk act, migratory birds convention act, mandate to protect 30% by 2030.",Yes,No,"I work to develop tools, including the first test of Priority Threats Management for multi-species action planning in Canada.  We also use IUCN threats calculators and other open standards approached.   We are currently developing a ""biodiversity indicator"" to assess the impact of conservation investments.",4,Most of the time,Most of the time,Always,Always,Always,Always,Always,Most of the time,Sometimes,Most of the time,Always,Most of the time,Sometimes,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,"evidence synthesis is useful.  Decision support processes, such as structured decision making etc., to increase the transparency of the decision context and process. ",Canadian federal government agency,,5 - 10 years,No,,"Ontario,Northwest Territories,Nunavut,Other",other: National programs.,,89731
44916.46734,44916.4808,IP Address,100,1163,True,44916.48082,R_1jrztD0DM0jXbTb,anonymous,EN,Yes,Lack of clarity about my own organization's decision-making hierarchy,Indigenous sovereignty movements challenging colonial decision-making infrastructures,My own organization's priorities and willingness to change in response to social movements like Black Lives Matter and Land Back,Federal and provincial political volatilty ,Climate change,4,Federal and provincial political volatilty ,2,Indigenous sovereignty movements challenging colonial decision-making infrastructures,5,Climate change,3,My own organization's priorities and willingness to change in response to social movements like Black Lives Matter and Land Back,1,Lack of clarity about my own organization's decision-making hierarchy,"Whether or not to commit time and resources to a particular threat (e.g. a development or industrial proposal); What is the most effective advocacy strategy for a particular campaign (e.g. direct government relations vs. mobilizing public opinion); To whom we direct the most attention for feedback and input (e.g. province, feds, First Nations, key stakeholders); Where, geographically, to focus our attention and resources.",Within my organization: Organization's mission and vision; organization's 10-year strategic plan; work team's annual objectives and milestones; individal work plan. Outside my organization: 30 x 30 (formerly Canada Target 1; sometimes Sustainable Development Goals or other international targets); the goals of First Nations; FUNDING.,Yes,Yes,"Threat matrix; organizational decision-making filter through the three S's of being Strategic, at Scale, and Systems-wide.",2,About half the time,Sometimes,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Within my organization: autonomy under a defined budget; a clear decision-making process that outlines where my autonomy extends; transparency about the actions taken by senior leadership. Beyond my organization: open communication from government of all kinds; open-access scientific publications; destabilizing the rights of private property and dismantling capitalism; truly meaningful action on climate change.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,"Alberta,British Columbia",,,39033
44916.57499,44916.58216,IP Address,100,619,True,44916.58218,R_QhpkDW65TgYhIdP,anonymous,EN,Yes,"lack of biological or ecological data (ie., inventories, etc)","political changes - politicians re-organizing government at every election, their biases or personal preferences, economic decisions over ecological","lack of a clearly defined role for stakeholders, interest groups or other publics in co-managing resources (i.e., no policy/clarity)",lack of sustained funding,na,1,"lack of biological or ecological data (ie., inventories, etc)",2,"political changes - politicians re-organizing government at every election, their biases or personal preferences, economic decisions over ecological",3,"lack of a clearly defined role for stakeholders, interest groups or other publics in co-managing resources (i.e., no policy/clarity)",4,lack of sustained funding,,,"management planning and implementation of plans, evaluation of the effectiveness of interventions (almost totally non existent), how to identify where to start (there's so much to do, what is a priority?), who to engage with and how in decision making","provincial policy and legislation such as parks act, WAERNAHR Act (Alberta), Public Lands Act/Regulation, Trails Act, Wildlife Act, Fisheries Act, and then Species at Risk act; federally the SAR legislation and policy, as well as Reconciliation; and then international efforts help me locally reflect on my decisions but sometimes there is no provincial support to enact anything ",Yes,Yes,"Miradi CMP, Structured Decision Making, project management templates, PAME process for parks mngt planning",4,Sometimes,About half the time,Most of the time,Sometimes,Sometimes,About half the time,About half the time,Most of the time,Sometimes,Always,Always,Sometimes,Most of the time,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"sustainable funding, priorities that are informed by the local level staff (the SMEs!) and adopted and supported by politicians beyond one year or less, clear policy on engagement and things like what co-management means and how we do it, and field work - we need data!",Canadian provincial or territorial government agency,,over 10 years,Yes,"through my PhD courses as well as taking structured decision making course, and Miradi CMP course ",Alberta,,,95414
44916.59809,44916.60403,IP Address,100,513,True,44916.60405,R_3EZ7VCzG4JLarHM,anonymous,EN,Yes,Fear based management. Based on fear of political or social push back,"Not making decisions based on evidence, but rather opinion or fear",Failure of science to inform management decisions,na,na,1,Fear based management. Based on fear of political or social push back,2,"Not making decisions based on evidence, but rather opinion or fear",3,Failure of science to inform management decisions,,,,,"Inform managers on land use, specifically recreational impacts on ecosytem function","Parks Act, Wildlife Act, locally developed guidelines",No,,,3,About half the time,Sometimes,Most of the time,Most of the time,About half the time,About half the time,Sometimes,Most of the time,Most of the time,Always,Most of the time,About half the time,Sometimes,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Having managers and leaders who understand conservation decisions,Canadian provincial or territorial government agency,,over 10 years,Yes,MSc. Various staff provided support tools,Alberta,,Managers make decisions based on assumed fear of repercussions and not what is best for the ecosystem or the populous,95299
44916.62056,44916.63564,IP Address,100,1302,True,44916.63566,R_216Z7ZpoWCawIhP,anonymous,EN,Yes,Unknown public expectations.,Political will.,Complex variables acting on wildlife populations.,Unknown wildlife populations or trends.,na,4,Unknown wildlife populations or trends.,1,Unknown public expectations.,3,Complex variables acting on wildlife populations.,2,Political will.,,,Game species and harvest management.,"Federal and provincial acts, associated regulations, government policy.",Yes,Yes,Management plans.,4,Most of the time,About half the time,About half the time,Sometimes,About half the time,Sometimes,Sometimes,About half the time,Sometimes,About half the time,Most of the time,About half the time,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Improved data.,Canadian provincial or territorial government agency,,over 10 years,No,,Saskatchewan,,,86666
44916.66742,44916.67786,IP Address,100,902,True,44916.67788,R_2qERk3C3BWPLOIQ,anonymous,EN,Yes,"Incomplete understanding of past, current and future fish population and habitat characteristics",Uncertainty in how stakeholders will respond to management options ,Uncertainty in how politicians will respond to management options ,na,na,1,"Incomplete understanding of past, current and future fish population and habitat characteristics",2,Uncertainty in how stakeholders will respond to management options ,3,Uncertainty in how politicians will respond to management options ,,,,,"What management actions should be taken to recover fish populations. How to monitor fish populations. How to prioritize recovery efforts based on science, economics and social considerations. When do we need to monitor fish populations. What are the most important research gaps that need to be filled to support at-risk fish recovery. How do we determine population status. Level and format of stakeholder engagement on provincial and local level management actions. ","Species at Risk Act, Wildlife Act, Alberta Fish Conservation and Management Policy, Species Recovery Plans",Yes,Yes,"Cumulative effects models, risk matrices ",3,Most of the time,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,"Higher level of commitment to properly designed, long-term monitoring programs following actions, with follow-up on results and what was learned in a true adaptive management framework. ",Canadian provincial or territorial government agency,,over 10 years,Yes,Graduate degree including statistical modelling of uncertainty. On-the-job training of translating uncertainty to risk to communicate to non-science leaders. ,Alberta,,,27028
44916.78741,44916.8094,IP Address,100,1900,True,44916.80942,R_3Ljwl7UXh9oDnqH,anonymous,EN,Yes,political willingness to support the decisions,public acceptance of the decisions,funding available to act on decisions,enough research available to inform decision,na,1,political willingness to support the decisions,2,public acceptance of the decisions,3,funding available to act on decisions,4,enough research available to inform decision,,,"1) Mostly human-wildlife conflicts and hunting regulations. These decisions are often precedent-setting and ultimately become policy. Public acceptance is typically low (hence the need for policy) and political support uncertain.

2) Siting industrial activity outside protected areas (e.g., critical habitat, ecologically sensitive areas). Also becomes policy because private interests and other agencies may not support decisions, political uncertainty ensues.

3) Directing conservation actions to the most appropriate areas of my region. These are more collaborative, public acceptance is pretty high, not a lot of political interest. 
","provincial mandate, federal and provincial species at risk acts, migratory birds act, provincial wildlife act and regulations, and various internal policies ",Yes,Yes,"Mostly ArcGIS and [R] Statistics to model habitat selection, identify biodiversity hotspots, and map protected areas. Not sure if this is a 'decision-support tool', but I rely on it to make decisions about 'where' things should happen and where they shouldn't.",4,Most of the time,Sometimes,About half the time,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,About half the time,Most of the time,Always,Most of the time,Most of the time,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Little to no influence of current political powers and public opinion, MORE FUNDING, ecology classes in grades 5-8",Canadian provincial or territorial government agency,,1 - 2 years,No,,Saskatchewan,,Thank you for the opportunity to participate in your study!,70460
