ID,language,q1_rank,q1_text,q2_rank,q2_text,q3_rank,q3_text,q4_rank,q4_text,q5_rank,q5_text
R_1SPluOwVbeG5bqh,EN,1,Funding; to undertake projects or for follow-up/maintenance,3,Lack of research on management strategies (ex. managing emerging invasive species),2,"Understaffing; cannot commit to projects with too few staff, or staff that are not guaranteed (ex. federally-funded summer students)",4,"Provincial government eroding environmental law and protected areas - we don't know what land is safe, what to invest our time in.",,
R_3gN49uACGHVx5B1,EN,2,Climate Change. Climate variability and resulting environmental changes make long-term planning difficult.,1,"Support or engagement from rights holders, stakeholders, community members. Uncertainty around how they will perceive the conservation actions/strategies/decisions.",,,,,,
R_51g1sWbPEcJNrnX,EN,1,"Scientific uncertainty, insufficient data to resolve key questions in the decision making process",2,Traditional Ecological Knowledge: Availability of information or insufficient time to gather or engage indigenous groups ,3,Social: Lack agreement among parties or groups involved in the decision process about what the uncertainty is,4,"Collaborative: Decisions made in the absence of one or more important groups (e.g., regulatory or indigenous)",,
R_1E7hmcD1CIBNAoQ,EN,1,"lack of comprehensive, long-term data",2,"inconsistent access to data, improperly managed or structured datasets, etc. ",3,inability to have certainty around causal relationships in complex ecosystems,4,uncertainty around implementation efficacy (e.g. will structures or programs be maintained so they remain effective),5,continued access to internal funding to execute conservation actions
R_2ZP9lPbHS4MCYlQ,EN,1,Reaching fundraising goal,2,having the capacity to manage the property adequately,3,"having funds in hand is the optimal approach to be strategic, and take advantage of opportunities. The uncertainty of grant applications, and convincing landowners to agree to contracts before these outcomes are known reduces flexibility ",4,"climate change, and the gradual shift in animal patterns and plant populations",5,"World economics, the impact of financial stresses on charitable giving"
R_3fJNBtt5WyQNUZh,EN,1,Social acceptance of decision - are the barriers actual support/resistance to a decision or political perception of based on most vocal stakeholders,2,Short and long-term economic implications,3,"What is the appropriate ""balance"" of resource use (forestry, industry) and conservation on a landscape and how to make that transition equitably",4,Most appropriate conservation tool,,
R_1gzsdkvvXerZwIX,EN,1,Lack of well-defined relationships between wildlife and disturbance (relationships derived from empirical data specific to species and/or region),2,Variability: difficulty teasing out behavioural responses that are within the natural range of variation or are in response to disturbance,3,"Lack of specific information leading to uncertainty (for example, lack of demographic rates for a certain species in a particular area or lack of subsistence harvest data to inform sustainable harvest)",4,"Modelling: the ""ever model is wrong"" mantra. We make a lot of decisions supported by models that have inherent uncertainty",5,"Political uncertainty: continued support of programs and/or conservation decisions (e.g., harvest-related) with newly elected leaders (territorial level mostly)."
R_22EMWMTJLXkLVwS,EN,1,Wildlife population estimate/trend for fish and wildlife species,4,Harvest rates for various species with unreported harvest (e.g. First Nation harvest),1,Effects of climate change (present and future) on fish and wildlife,2,Risk of invasive species and wildlife disease for fish and wildlife,5,Effects of habitat loss and increased urbanization for fish and wildlife
R_d4mL8hNN4Ym8WTD,EN,1,Political bias and influence of conservation NGOs,2,Predicting future conditions based on multiple potential climate scenarios ,3,"Multiple interpretations and misconstrued uses of the ""precautionary principle""",1,"Unknown monitoring parameters of ""success"" of conservation measures (e.g., do protected areas work?)",,
R_22qXLa3EcgyY73O,EN,1,"First Nation governments and crown governments, both in terms of whether/when they are ready to make/support/implement a decision or action.",,,,,,,,
R_1i9vTCPrFe3PpcO,EN,3,limited knowledge of overall biodiversity and ecological relationships on the landscape even within Protected areas,2,cumulative impacts on finite landscapes; large undeveloped landscapes required to conserve functioning ecosystems at broad landscape scale; even continental ,1,political ideology/will trumps effective conservation; anthropocentric viewpoint,,,,
R_3CQuEdH52j8r76t,EN,1,"Lack of information on the basic distribution/presence/absence of a species we are trying to assess or recover; e.g., are there more of them out there that we don't even know about?",3,"Lack of information on the likely response of a species' population to a particular management action; lack of ability to predict the response to, e.g., manipulations in habitat",2,"Lack of information on basic biology of a species; e.g., exactly what habitat does it need and how closely is it tied to that habitat?",4,"Lack of information on whether a particular habitat can be restored and if so, what characteristics does the restored habitat need to have in order to be useful for the target species",,
R_3PNz5wRufH3IN0q,EN,2,uncertainty about the response of a species to the intervention,4,uncertainty about what ultimate (root) goal/outcome is actually desired...,5,uncertainty about the ability to implement/enforce the desired intervention ,1,"Uncertainty about what is causing the decline of species, to make the intervention necessary",3,Uncertainty about which action is most cost effective
R_1jrztD0DM0jXbTb,EN,4,Federal and provincial political volatilty ,2,Indigenous sovereignty movements challenging colonial decision-making infrastructures,5,Climate change,3,My own organization's priorities and willingness to change in response to social movements like Black Lives Matter and Land Back,1,Lack of clarity about my own organization's decision-making hierarchy
R_QhpkDW65TgYhIdP,EN,1,"lack of biological or ecological data (ie., inventories, etc)",2,"political changes - politicians re-organizing government at every election, their biases or personal preferences, economic decisions over ecological",3,"lack of a clearly defined role for stakeholders, interest groups or other publics in co-managing resources (i.e., no policy/clarity)",4,lack of sustained funding,,
R_3EZ7VCzG4JLarHM,EN,1,Fear based management. Based on fear of political or social push back,2,"Not making decisions based on evidence, but rather opinion or fear",3,Failure of science to inform management decisions,,,,
R_216Z7ZpoWCawIhP,EN,4,Unknown wildlife populations or trends.,1,Unknown public expectations.,3,Complex variables acting on wildlife populations.,2,Political will.,,
R_2qERk3C3BWPLOIQ,EN,1,"Incomplete understanding of past, current and future fish population and habitat characteristics",2,Uncertainty in how stakeholders will respond to management options ,3,Uncertainty in how politicians will respond to management options ,,,,
R_3Ljwl7UXh9oDnqH,EN,1,political willingness to support the decisions,2,public acceptance of the decisions,3,funding available to act on decisions,4,enough research available to inform decision,,
R_O74lHXwJteS2yzL,EN,1,Environmental protection issues related to government lack of communication ,2,"principles of equity, inclusion",3,In-kind operational support  ,4,Environmental justice ,5,Loss of volunteers during COVID
R_2CNSANOlll0Oees,EN,,,,,,,,,,
R_3RdCoZdrSuuzahz,EN,1,annual variation,2,regional variation,3,regional coverage of information,4,reliability of measurements,5,future validity of current observations
R_3O9p0xyaGYVQ2al,EN,,,,,,,,,,
R_2TT98JMPT90xrVn,EN,,,,,,,,,,
R_2XgQM71ku4l9YKr,EN,,,,,,,,,,
R_1KqFXPlHKcix8tD,EN,,,,,,,,,,
R_TuUC8K3syQ8QbHb,EN,1,current government,2,,3,,4,,5,
R_1K8WHA53ZDpkhXY,EN,,,,,,,,,,
R_02oFYRkepHwQ5pv,EN,,,,,,,,,,
R_2OOa9dMeIguBd6W,EN,1,Political will,5,Regulatory uncertainty ,2,Community division,3,Appropriate organization to undertake the work,4,Funding
R_1mQtsu2zaMHA2aa,EN,,,,,,,,,,
R_UuAw8A7v7pw08Cd,EN,,,,,,,,,,
R_2TRwTpGlxaegGAo,EN,,,,,,,,,,
R_3s1yRnWFxY3XUvZ,EN,,,,,,,,,,
R_3HoFlLjb2JnZDut,EN,,,,,,,,,,
R_urA344rQOzAWcUN,EN,1,Political decision making ,2,External lobbying ,4,Strength of science ,3,Competing priorities ,5,
R_8vx3uBg7nT4Rduh,EN,1,"Soil health (impact of earthworms, invasives, humans)",4,"Species companionship -- which plants, including trees, do well with others",3,Mycorrhizal fungi -- is it worth it?,2,Best species to combat invasives,5,Native species; we know what's historically been in our areas and what should be here
R_0UoXxJWoQsWuHDP,EN,,,,,,,,,,
R_22y8lJ31FYONpR4,EN,1,assessing threats to species,2,conservation status,3,model,4,,5,
R_8nQelLFMb6TauAN,EN,,,,,,,,,,
R_1DCfFqJAB0b6t43,EN,1,Changing regulations ,2,scope of impacts ,3,cumulative impacts,4,risk assessment ,5,
R_oZXWgqvwqyPhOfL,EN,1,Political willingness and subsequent mandates needed from provincial government,2,Interest and process definition from First Nation governments to proceed on a conservation initiative.,3,Funding for proper and thorough data collection and analysis.,4,Information can be readily obtained,,
R_3dZi7M7V2KVXXWC,EN,,,,,,,,,,
R_3GBxf2oarApKUyu,EN,,,,,,,,,,
R_22VzYSJq00xaR9z,EN,,,,,,,,,,
R_1CmgTCf2AYV4KTk,EN,,,,,,,,,,
R_Uh9FWDeKsHWBZD3,EN,,,,,,,,,,
R_1PdBw8kABvi7KOY,EN,1,Political ,2,Financial,,,,,,
R_Ajmz5tbTKXo2qoV,EN,,,,,,,,,,
R_3HLaCXRZAq8B70g,EN,,,,,,,,,,
R_3dG5LX04E3jNOsd,EN,,,,,,,,,,
R_2bUKfQJCeGmX6al,EN,1,hi,,,,,,,,
R_x5VX2v3gMQi8MCJ,EN,1,support and follow-through from senior management to defend and implement actions resulting from decisions,2,setting legal or policy precedence in areas of shared or complex jurisdictional authorities,3,gaining community/public support,4,peer-reviewed scientific evidence,,
R_1GDs8TjCS3VpFaT,EN,,,,,,,,,,
R_0j1SN5m3V5FZNoB,EN,,,,,,,,,,
R_Y0kg94WUmYZgGLD,EN,1,Policy scope missing the scientifically relevant parameters in the assessment entirely,2,Project scope missing the budget or timelines to allow for monitoring resolution of relevant parameters,3,Project team rejecting prescribed mitigation and enhancement for identified impacts,4,Regulators failing to apply the rules that apply teeth to prescribed mitigation and enhancement (regulators stop caring once approval is given and especially fees are paid glorified collection agencies with stall tactics on the front end very little science),5,"Government change or next maintenance cycle within tree lifetime and restoration timescale destroying identified ""must protects"" and tangentially changing restoration and enhancement strategy away from targets before tipping points are crossed and stable states are met so we're just burning money talking about giving a shit. assessments and objectives need to be put on a google map where people can see without thinking because even a database is inaccessible to those too lazy to query and scope that doesn't make us use existing data or apply adaptive management to iterative jobs and mitigation/restoration effort (dumbasses in charge)"
R_3JabdLHkHr6DcxT,EN,,,,,,,,,,
R_2Ehl3Lq0XGaL5QK,EN,,,,,,,,,,
R_2dH1plvxm6zSvtm,EN,,,,,,,,,,
R_BVyBnRdBJQ0wfND,EN,1,Uncertainty in the amount of impact that human activities are causing the natural environment,2,"Uncertainty in the effectiveness in management actions to avoid, mitigate or compensate for impacts of human activities",3,Uncertainty in the state of natural ecosystems and populations,,,,
R_BGo9wSBINFWfSi5,EN,,,,,,,,,,
R_1M0YV3p5XGZzFnw,EN,,,,,,,,,,
R_3QEt5CIlvLJnVD6,EN,,,,,,,,,,
R_3P6S77hgcxEDGlf,EN,1,Personal scope of knowledge ,2,"Gaps in data, lack of Peer review literature ",3,social/Political implications of decision ,,,,
R_2di12ANNjaBgtq2,EN,1,Authority. which layer of government is most responsible and has most authority to achieve conservation,2,Funding. which mechanisims are funding incentives for private land owners to achieve land conservation,3,"Politicla reconciliation versus natural needs.. how can little remaining old growth, resource and reforested lands be provided for recociliation with first nations without set asides for conservation?",4,,5,conservation value factors. not all land can be restored and then become worthy of conservation.
R_1iqa3aBGjSW0lL2,EN,3,Conflicting interests among stakeholders as to best course of action.,2,Organizational inability to take appropriate action once needed action is clear.  ,1,Complexity of real-world situations that present multiple interacting causes and responses. ,4,Conflicts among parties desiring different roles or outcomes,5,"Difficulties in resourcing resulting programs, including necessity of long-term management and monitoring requirements."
R_2949xqWmFOxcLbG,EN,,,,,,,,,,
R_bQu4ZSadJYnrXrP,EN,2,Funding to implement projects,1,Policy changes which could affect projects mid-planning or shift priorities,4,Impacts of invasive species,3,Funding for monitoring and adaptive management,5,"Availability and continuity of passionate, well-informed, capable staff"
R_1IQ8u5X5BTJ3Mko,EN,1,politics,3,climate change,4,ambiguity of regulations and guidelines,2,invasive species and diseases,5,lack of monitoring to confirm if restoration fulfilled design goals
R_1FkQzg86ZvQ9mdv,EN,1,Funding,2,Policy Changes- revisions to existing policies in place,3,Party changes (government)- bringing different political viewpoints and opposing viewpoints,4,Knowledge gaps- individuals trained in areas of expertise required,5,Human resources- limited in some areas of forestry and forest conservation
R_1dM17P4jeYYAnJM,EN,,,,,,,,,,
R_10VlUARWxbvzTpp,EN,1,Organisational,2,Implementation,3,Process,5,Measurement,4,Modelling
R_sGser2wq4Gz3SAp,EN,2,scientific uncertainty,1,political uncertainty,,,,,,
R_1BVPpI5UypmVi0g,EN,,,,,,,,,,
R_DnLfQVd92ezvbk5,EN,3,accuracy/precision of data used in decision,2,are the correct factors considered in the decision support system (model)?,1,understanding relative risk levels (economic versus ecological).,,,,
R_3EcY7TWVbB0C4m0,EN,,,,,,,,,,
R_exlMxxUBgxjVW3n,EN,,,,,,,,,,
R_2QzXcQ3aGdPoDuo,EN,,,,,,,,,,
R_2ZDHg186AjPfi1n,EN,,,,,,,,,,
R_2bH8yegLKAiBgMO,EN,,,,,,,,,,
R_1oIqPCzw8alMy9P,EN,,,,,,,,,,
R_3CAQt1zuKezUK19,EN,,,,,,,,,,
R_tMbAlzyPSx6ZNPb,EN,,,,,,,,,,
R_2TB59L44OgBIKKS,EN,,,,,,,,,,
R_2sWQxUmoARPR0UP,EN,,,,,,,,,,
R_1n3jzhBaa6LPxAS,EN,,,,,,,,,,
R_23f7AXETdEnHKu0,EN,,,,,,,,,,
R_DdCPWu6eTZgFNVn,EN,,,,,,,,,,
R_3ffMZj78xWF9jfy,EN,2,Social climate,1,economic climate,3,local (province-level) biodiversity goals,,,,
R_2AHKAt3r2r6Jypy,EN,1,Media,2,Politics,3,Research ,,,,
R_qQmfAIcbbVkCUil,EN,,,,,,,,,,
R_32WU6HmANLoLoTl,EN,,,,,,,,,,
R_ANAXF2vQPyrh7bj,EN,,,,,,,,,,
R_2a8HBmNeXUY7A1W,EN,2,current industrial practices,1,current intensity of industrial activities,3,local or regional-specific data,,,,
R_aUYCUNbZRfQvSDf,EN,,,,,,,,,,
R_3O7ki2lJ0oLhOFC,EN,1,Funding,4,Public Buy-In (climate skeptics),3,Public Participation and Citizen Science,2,Cost of Living Crisis ,5,
R_zYx6Q7SkYFOyqK5,EN,,,,,,,,,,
R_1Flcua5zIwq4CLJ,EN,5,"Disagreements or lack of alignment between levels of government including Federal, Provincial, Regional, and Local Area Municipality.",1,"Constantly changing political landscape that changes the limitations, regulations, or prohibition of a municipality's ability to make and enforce decisions related to conservation and biodiversity. ",3,Lack of available data to identify and prioritize management actions.,4,Lack of staff expertise and capacity to identify and prioritize management actions.,2,Lack of available funding to implement identified management actions.
R_2VjTdL4gFKijlNm,EN,1,Lack of political leadership and an unwillingness to act by government managers. ,2,Lack of basic ecological knowledge to inform decision.,3,Inability to gather broad stakeholder support for decision.,,,,
R_qVYN1ER9GCNyVdT,EN,3,Unknown variables,1,Unknown future funding ,4,staffing,2,Social (intra office issues),5,political (inter office issues)
R_2YE6rVNlAhkJW13,EN,1,Adequacy of mitigative or protective measures to ensure biodiversity persistence,2,Inadequate forecasts of future conditions (as they pertain to implications of present day decisions),3,Unclear whether conservation practices (many of which focus on particular species and their habitats) appropriately address scope of problems and complexity of natural systems ,4,"Political uncertainties affecting legislation, policies, regulations, and the minutia of behind the scenes protocols in place to protect and maintain biodiversity.",,
R_2zp6rZcPo3Oq9Zv,EN,1,Reliable source of funding for the creation of new projects and future monitoring of existing projects..,,,,,,,,
R_2zJ5FMF7y4G35tK,EN,1,Wetland policy and mitigation on mineral wetlands within private lands and how that compares to public or government owned land,2,Rare plant survey policies and regulations,,,,,,
R_aftdSieFfp0Gpu9,EN,1,Lack of definite scientific proof for a conservation action,2,Lack of a clear document that I can point to to reference scientific proof in laments terms for my non-academic colleagues,3,When knowledge from hunting/fishing guides directly competes with scientific ideas,,,,
R_AplViIsSnhnfBdL,EN,1,Discrepancies between different agencies or organizations when working on shared projects.,,,,,,,,
R_240olteo2YTZzs9,EN,,,,,,,,,,
R_1eRY174HCIZKXgw,EN,1,"Federal, provincial policy dynamics. Legislative policy change often happens without adequate consultation with ENGOs or concerned stakeholders. Industry lobbying can be decisive and non-transparent, as is likely evident in a recent decision to reverse previous rules around neonicotinoids in Canada. ",2,Federal - provincial political relationships. Inconsistent direction coupled with jurisdictional overlap between federal and provincial governments make it difficult to work consistently across the country for federal-scale organizations,3,Commercial / industrial environment. Sudden and unexpected changes to national and international markets can create conservation objectives and successes over night. Conservation of species or ecosystems in Canada are sometimes dependent on international forces beyond our control or ability to predict.,4,"Public perception of conservation. Environmental protection and conservation is still considered a niche or luxury action by Canadians, and as socioeconomic shifts occur, the ability to rally support for important conservation actions also changes unpredictably",5,"Climate change.  Ecosystem resilience to climate change is largely unknown, and we are uncertain of the conservation benefits of local actions in the face of global change. "
R_240HPR0DooWcUbL,EN,1,Funding available from partner organizations and grants for land purchase as Conservation Sites,2,Provincial government support and enforcement commitment to manage Crown land as Conservation Sites,3,,,,,
R_XZlSe9YLlPmb5ct,EN,4,Efficacy of action relative to other actions,1,Political will to have an outcome,2,Sufficient resources for an action to be implemented effectively,3,Relative value in completing interests,,
R_3jcCLJit1qtKx5G,EN,1,"Published papers, so often there are so many studies that contradict each other. ",2,"Media, in todays world media can influence decision making whether positive or negative.",3,"Decision making in the past was viewed much differently than today, leaders, biologists and others are afraid to make decision because being wrong is subject to discipline rather than a learning experience.",,,,
R_3OrCdD2MJ10H0Ai,EN,2,Data,1,Public opinion,3,peer review litt. ,,,,
R_2uWGZc6BxG7u7SV,EN,1,"Uncertainty about resources (e.g. funding, staffing) necessary to sustain actions or programs ",3,Scientific uncertainty about the outcomes of actions,2,Impacts of climate change,4,Invasive species (new or existing),5,Public support for actions or programs
R_ZCrgJw1auPHY665,EN,1,Funding. Will there be adequate money to carry out the action?,2,Data. Is there adequate data to support a decision?,3,Politics. Will policy changes make a decision moot- or reverse it?,4,Environment. Will changes in the environment affect the decision?,,
R_214HTEnhkFag372,EN,1,Funding. Even when approved it doesn't always show up in a timely manner,2,"Climate Change. So many unknowns and the problem is so big, where do you begin to tease out the impacts",3,"Changing government priorities. Conservation projects can be long term and gov't funding is on 4-5 year cycles, at best.",,,,
R_Y3pFtRTCaegR3KV,EN,1,Classic uncertainty in ecological data,2,Human dimensions/social dynamics,3,"Variability in leadership, political support and funding levels",4,Complex administrative processes,,
R_2A08WgqpOCGuKyh,EN,1,Assessing impacts within the context of cumulative effects.  Most developed landscapes are already highly modified.  How much could a little more impact affect the achievement of conservation objectives.,2,"Effectiveness of avoidance, mitigation and offset measures.",5,Jurisdictional overlap (or gaps) between federal and provincial authorities where one-side is the development/user authority and the other is the conservation/protection authority for the same resource.,4,Our decision-making processes apply to individual project impacts and do not consider ecosystem or conservation objectives established through other processes and mechanisms. We typically rely on other authorities to prohibit projects when the status reaches a critical or high risk state.,3,"There is no mechanism to account for the uncertainty of models, natural variability, climate change to evaluate residual impacts of projects used to set management threshholds and not having a mechanism to actively assess and adapt management decisions if the effects are greater than expected."
R_2AX4b14cChnaUTG,EN,,,,,,,,,,
R_2U3pFPMqq1ZMKYu,EN,1,Timely funding for the project.,2,"Known locations of species/ecosystems at risk, particularly on privately owned lands.",5,"Development pressure, industry exploration, agricultural expansion timelines.",4,Climate change impacts and mitigation.,3,Local research studies and white paper availability.
R_3kBW4YJUf5Fw8DL,EN,1,data deficiencies,2,political interference,,,,,,
R_2sbyrzkIjIlIoHJ,EN,1,Natural environment - population estimate uncertainty,2,Management actions - uncertainty of effectiveness of strategies,3,Sampling tools - detection probability estimates are unknown,4,Other agencies efforts and intentions via management actions,,
R_2RPtkNGQqiEm9Pl,EN,,,,,,,,,,
R_XXrA1QUfT1oGqbv,EN,2,"uncertainty in our knowledge of the state of the system (status, trends, population sizes, of managed species populations)",1,Uncertainty in our knowledge of the process (factors that influence species populations),3,"Uncertainty in our knowledge of the practical limits to management actions (social acceptance, funding, political power)",,,,
R_wXo5fhJBWWylto5,EN,,,,,,,,,,
R_3M5MBUFxnU8jQp8,EN,,,,,,,,,,
R_3qwomkZSLP50rtS,EN,,,,,,,,,,
R_1eCRtfB4U0o1BTr,EN,,,,,,,,,,
R_1dAoSWg4pF5ZR9x,EN,,,,,,,,,,
R_SBlchVGboboxjUd,EN,1,Uncertainty in the efficacy of mitigation measures,2,Scale of potential impacts - will the loss/change of this habitat have a population-level effect? How large?t,3,"Uncertainty that the proposed monitoring can detect significant impacts in a timely manner, and that corrective actions can/will be taken ",4,Cumulative effects,5,"behavioral uncertainty - businesses, partners, etc. - will they be able (ie.resourced)/willing to act in the manner proposed"
R_1LUPqj5NgIGtSmy,EN,3,finance :  no money to put corrective action in place.,1,Precaution principle : lack of data or confirmation of impact or non impact. ,4,political impact / communication risks,5,multiple approbation processes,2,opposing goals or objectives (need to educate through the process)
R_3exnVMxZ7Z9g0TB,EN,2,support and direction from co-management bodies,1,funding,3,resources (enough staff/students/volunteers) ,4,"climate change/nature environment (wildlife movements, weather, etc)",,
R_wLYPvT2HsRFYTxn,EN,,,,,,,,,,
R_e38OZuo6GJ1uSf7,EN,,,,,,,,,,
R_2qDm69LLbPyentR,EN,,,,,,,,,,
R_3dT94HSWK3Z4mim,EN,,,,,,,,,,
R_2y9o2frXHS3bByM,EN,,,,,,,,,,
R_1gziKTOFuIfIkjc,EN,,,,,,,,,,
R_3fk6j1zTKjT9Jr8,EN,,,,,,,,,,
R_248edOfAg6zQwiV,EN,,,,,,,,,,
R_3RkZKaTv95fEYjf,EN,,,,,,,,,,
R_2ByfcQYK7ArcgAi,EN,,,,,,,,,,
R_2R9Xz5DYr1YEGTt,EN,,,,,,,,,,
R_2vdmwrTmDLnz16A,EN,1,Funding - does the project have enough funding to be sustainable?,3,Scientific Knowledge - does the project have the required professionals?,2,Capacity - do I have enough time to be able to fully commit to this project?,,,,
R_ThZO5e5vGRg2vvP,EN,3,DFO Regulatory Review,4,Science,2,Data collection from consultants,,,,
R_1DzEzvmDpxKTwz2,EN,2,"Data gaps (e.g., species presence, species status and life-history) at specific sites.",3,"The efficacy of offsetting or compensation efforts to successfully counterbalance impacts to conservation values (i.e., fish and fish habitat))",1,The subjectivity that is required to apply regulatory guidance and advice.,,,,
R_2YnZ7s5ElhZiBYm,EN,1,Policies of adjacent land jurisdictions (provincial government),2,Changing human dimensions (e.g. bringing new leaders up to speed and constantly adjusting for different personalities/working styles) within my own organization.  ,3,Federal-provincial politics and subsequent intergovernmental relationships,4,Social acceptance/mood of the broader public,4,Gaps in technical knowledge
R_3qlmgdJQ3ruAdjw,EN,,,,,,,,,,
R_OrM9H1WGJOYlpx7,EN,2,Engineering,5,Weather,1,Data,4,Public perception,3,Contractor capability
R_tKbvJUKmhrlApW1,EN,,,,,,,,,,
R_1opuQ6qXkBg4Y1w,EN,,,,,,,,,,
R_3qEGRsNv6H5Ojev,EN,2,Uncertain invasive species climate tolerances,1,Uncertain invasive species introduction pathways,3,Uncertain political priorities in supporting invasive species work,,,,
R_23Vrj5rqIBwN0U9,EN,,,,,,,,,,
